Case Status,Inspection Nr,Report ID,Open Date,Site Address,Mailing Address,Union Status,SIC,NAICS,Inspection Type,Scope,Advanced Notice,Ownership,Safety/Health,Close Conference,Emphasis,Close Case,activity_code,Investigation Nr,Event,investigation_summary_notes_1,Inspection Information - Office,investigation_summary_notes_2,investigation_summary_notes_3,Keywords,Note,Planning Guide
CLOSED,1483129.015,0950615,07/05/2020,"Walmart Inc.
			   2701 N. Texas StreetFairfield, CA 94533",702 Sw 8th Street   Mail Stop,NonUnion,,453998/All Other Miscellaneous Store Retailers (except Tobacco Stores),Referral,Partial,N,Private,Safety,01/04/2021,,07/04/2022,1483129.015,,,,,,,,,
CLOSED,1469714.015,0950612,03/13/2020,"Walmart Inc.
			   301 Ranch Dr.Milpitas, CA 95035","702 Sw 8th St., Mail Stop 0505, Bentonville, AR 72716",NonUnion,,452111/Department Stores (except Discount Department Stores),Accident,Partial,N,Private,Safety,07/24/2020,,03/02/2022,1469714.015,,,,,,,,,
CLOSED,1463894.015,0355114,02/19/2020,"Walmart, Inc.
			   9401 Liberia Ave.Manassas, VA 20110","9401 Liberia Ave., Manassas, VA 20110",NonUnion,,452910/Warehouse Clubs and Supercenters,Complaint,Partial,N,Private,Safety,02/19/2020,,06/29/2020,1463894.015,,,,,,,,,
CLOSED,1463070.015,0626000,02/14/2020,"Walmart, Inc.
			   1821 South Padre Island Drive Wal-Mart Supercenter Store #470Corpus Christi, TX 78415","702 South West 8th Street, Bentonville, AR 72716",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,02/14/2020,,10/29/2020,1463070.015,,,,,,,,,
CLOSED,1455592.015,0213100,01/14/2020,"Walmart Inc.
			   300 Enterprise RoadJohnstown, NY 12095","300 Enterprise Road, Johnstown, NY 12095",NonUnion,,493120/Refrigerated Warehousing and Storage,Referral,Partial,N,Private,Health,03/06/2020,P,04/27/2021,1455592.015,,,,,,,,,
CLOSED,1452616.015,0950633,12/20/2019,"Walmart, Inc.
			   58501 Twentynine Palms HwyYucca Valley, CA 92284","58501 Twentynine Palms Hwy, Yucca Valley, CA 92284",NonUnion,,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,01/08/2020,,06/04/2020,1452616.015,,,,,,,,,
CLOSED,1439633.015,0854910,10/23/2019,"Walmart Distribution Center #7026
			   929 N Sr 138Grantsville, UT 84029","929 N Sr 138, Grantsville, UT 84029",NonUnion,,493110/General Warehousing and Storage,Accident,Partial,N,Private,Safety,11/05/2019,,03/13/2020,1439633.015,,,,,,,,,
CLOSED,1434925.015,0950615,10/01/2019,"Walmart Inc.
			   7011 Main St.American Canyon, CA 94503","Carl Sperling  702 Sw 8th Street Mail Stop 0505, Bentonville, AR 72716",NonUnion,,452910/Warehouse Clubs and Supercenters,Referral,Partial,N,Private,Safety,02/07/2020,,06/18/2020,1434925.015,,,,,,,,,
CLOSED,1434692.015,0419400,09/26/2019,"Walmart Store 501
			   1621 Highway 15 NLaurel, MS 39440","1621 Highway 15 N, Laurel, MS 39440",NonUnion,,452910/Warehouse Clubs and Supercenters,Complaint,Partial,N,Private,Health,09/26/2019,,11/13/2019,1434692.015,,,,,,,,,
CLOSED,1432635.015,0950625,09/18/2019,"Walmart Inc
			   5125 East Kings Canyon RoadFresno, CA 93727","5125 East Kings Canyon Road, Fresno, CA 93727",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Accident,Partial,N,Private,Safety,01/21/2020,,03/04/2020,1432635.015,123230.015,08/19/2019,Employee Incurs Multiple Injuies In  Fall From Stocking Cart,Ca Fresno, ,"At 6:00 a.m. on August 19, 2019, an employee was stocking items on a shelf from the steps of a stocking cart. The employee fell from the cart, striking the floo r with his head and shoulder.  The employee was hospitalized to treat head and c lavicle injuries, as well as a hematoma on the brain.","brain, brain bleed, cart, fall, fall from elevation, head, shoulder, stocking",,
OPEN,1461476.015,0950633,09/16/2019,"Walmart, Inc.
			   11188 Citrus Ave.Fontana, CA 92337","11188 Citrus Ave., Fontana, CA 92337",NonUnion,,493110/General Warehousing and Storage,Accident,Partial,N,Private,Safety,02/28/2020,,,1461476.015,,,,,,,,,
CLOSED,1433863.015,0950633,09/13/2019,"Walmart Stores, Inc.
			   4250 Hamner Ave.Eastvale, CA 91752","4250 Hamner Ave., Eastvale, CA 91752",NonUnion,,493110/General Warehousing and Storage,Accident,Partial,N,Private,Safety,02/04/2020,,02/16/2021,1433863.015,123680.015,08/09/2019,Employee Fractures Foot When Caught Between Forklifts,Ca San Bernardino, ,"At 11:00 a.m. on August 9, 2019, Employee #1 was driving a stand-up forklift to move pallets of merchandise at a distribution center. After dropping off a load, Employee #1 began to reverse his forklift into the traffic path. He did not see another forklift coming and collided into the broadside of the other forklift. Employee #1 slowed the collision by extending his left foot outside of the stand -up forklift. Employee #1 sustained an open fracture of his left foot when his f oot became caught between the two forklifts. He was hospitalized.","backing up, caught between, collision, distribution center, foot, forklift, fracture, open fracture, pallet, powered industrial vehicle, stand-up forklift",,
CLOSED,1429571.015,0950612,09/09/2019,"Walmart, Inc. Store #2119
			   301 Ranch Dr.Milpitas, CA 95035",702 Sw 8th St. Mail Stop,NonUnion,,452111/Department Stores (except Discount Department Stores),Fat/Cat,Partial,N,Private,Safety,03/02/2020,,04/18/2022,1429571.015,119685.015,09/05/2019,Employee Is Found Unresponsive By Customer Within Store And,Ca Fremont District Office, ,"At 7:33 a.m. on September 5, 2019, an employee was cleaning the floors within a store and found unresponsive on the floor by a customer.  The employee sustained blunt force head injuries and is killed.","blunt force trauma, head, unconsciousness, unresponsive",,
CLOSED,1425251.015,0950662,08/20/2019,"Walmart Inc.
			   21101 Johnson Rd.Apple Valley, CA 92307","21101 Johnson Rd., Apple Valley, CA 92307",NonUnion,,493110/General Warehousing and Storage,Planned,Complete,N,Private,Safety,12/19/2019,P,06/29/2022,1425251.015,,,,,,,,,
CLOSED,1424705.015,0419400,08/20/2019,"Walmart Supercenter # 3060
			   2129 Grand AveYazoo City, MS 39194","702 Sw 8th St. Mail Stop 0505, Bentonville, AR 72716",NonUnion,,452910/Warehouse Clubs and Supercenters,Complaint,Partial,N,Private,Safety,08/20/2019,,01/10/2020,1424705.015,,,,,,,,,
CLOSED,1417541.015,0418600,07/31/2019,"Walmart Store #4407
			   10710 Chantilly PkwyMontgomery, AL 36117","10710 Chantilly Pkwy, Montgomery, AL 36117",NonUnion,,452990/All Other General Merchandise Stores,Complaint,Partial,N,Private,Safety,08/01/2019,,02/03/2020,1417541.015,,,,,,,,,
CLOSED,1419264.015,0522000,07/30/2019,"Walmart Storage And Distribution Center
			   1400 Old Chillicothe RoadWashington Court House, OH 43160","1400 Old Chillicothe Road, Washington Court House, OH 43160",NonUnion,,493110/General Warehousing and Storage,Referral,Partial,N,Private,Safety,07/30/2019,L,02/22/2021,1419264.015,118425.015,07/23/2019,Employee Lacerates Hip When Caught Between Piv And Rack,Cincinnati, ,"At 11:15 a.m. on July 23, 2019, an employee was operating a Reach Rider Powered Industrial Vehicle (PIV) storing material in a warehouse storage facility. The e mployee was turning around in an aisle after dropping off a pallet when she caug ht her left buttock between the rack and the PIV. The employee lacerated her lef t hip and was hospitalized.","aisle, buttocks, caught between, driver, driving, equipment operator, forklift, hip, industrial truck, laceration, material handling, off loading, powered industrial vehicle, stand-up forklift, stand-up operator, st",,
CLOSED,1420674.015,0854910,07/29/2019,"Walmart Distribution Center #7026
			   929 N Sr 138Grantsville, UT 84029","929 N Sr 138, Grantsville, UT 84029",NonUnion,,493110/General Warehousing and Storage,Referral,Partial,Y,Private,Safety,09/20/2019,N,03/01/2021,1420674.015,,,,,,,,,
CLOSED,1411676.015,0626700,06/27/2019,"Walmart
			   4145 Dowlen RoadBeaumont, TX 77706","4145 Dowlen Road, Beaumont, TX 77706",NonUnion,,452112/Discount Department Stores,Referral,Partial,N,Private,Safety,06/27/2019,,10/21/2019,1411676.015,117496.015,06/22/2019,Employee Incurs Concussion In Fall From Mobile Ladder Stand,Houston South, ,"At 12:15 p.m. on June 22, 2019, an employee was using a mobile stand ladder to p ull a lawn mower box when the box handle ripped open. The employee lost his bala nce and fell backward from the ladder approximately 4 feet to the ground. The em ployee incurred head and brain injuries and was hospitalized.","blunt force, blunt force trauma, brain, concussion, fall, fall protection, head, ladder, lost balance, lost control, malfunction, metal ladder, pulling, rip, struck against",,
CLOSED,1410498.015,1055330,06/21/2019,"Wa317954963 - Walmart Inc
			   1965 S Union AveTacoma, WA 98405","702 Southwest 8th St Ms 3570, Bentonville, AR 72712",NonUnion,,452910/Warehouse Clubs and Supercenters,Referral,Partial,N,Private,Safety,06/21/2019,,09/05/2019,1410498.015,,,,,,,,,
CLOSED,1407648.015,0653510,06/10/2019,"Walmart Store #873
			   926 Paseo Del Pueblo SurTaos, NM 87571","702 Sw 8th St, Bentonville, AR 72716",NonUnion,,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Health,06/10/2019,,11/05/2019,1407648.015,,,,,,,,,
CLOSED,1406719.015,0627100,06/10/2019,"Walmart Store #3230
			   400 Bryant AvenueBryant, AR 72022","702 Sw 8th St., Bentonville, AR 72716",NonUnion,,452112/Discount Department Stores,Referral,Partial,N,Private,Safety,06/10/2019,,07/15/2019,1406719.015,116929.015,05/29/2019,Employee Fractures Finger When Caught Between Door And Frame,Little Rock, ,"At 5:45 p.m. on May 29, 2019, an employee was pushing the emergency panic bar wh en her fingers were caught between the door and frame. The employee was hospital ized with a fractured left pinky finger.","caught between, caught in, department store, door, finger, fracture, frame",,
CLOSED,1404817.015,0950625,05/31/2019,"Walmart Distribution Center
			   1300 S. F StreetPorterville, CA 93257","1300 S. F Street, Porterville, CA 93257",NonUnion,,493110/General Warehousing and Storage,Accident,Partial,N,Private,Safety,10/01/2019,,08/02/2021,1404817.015,119776.015,04/24/2019,Employee Partially Amputates Fingers When Pulled Into Convey,Ca Fresno, ,"At 5:45 p.m. on April 24, 2019, an employee had just made repairs to a Seimens D ematic Meter Belt and had reenergized the equipment to make sure that the repair s were successful. As the employee turned on the machinery, a rag he was using t o wipe away grease from the cog belt and pulleys got caught and pulled his right hand into the apparatus. The employee partially amputated his thumb, index and middle fingers, requiring medical treatment. The employee was not hospitalized.","amputated, amputation, belt, caught by, conveyor, finger, fingertip, guard, machine guarding, maintenance, partial amputation, pinched, pulley, repair, thumb, unguarded",,
CLOSED,1403432.015,0453710,05/22/2019,"142334 - Walmart Distribution Center #6091
			   680 Vanco Mill RoadHenderson, NC 27537","680 Vanco Mill Road, Henderson, NC 27537",NonUnion,4225,493110/General Warehousing and Storage,Fat/Cat,Partial,N,Private,Safety,11/19/2019,,10/21/2022,1403432.015,116545.015,05/21/2019,Employee Is Killed At Distribution Center,Nc Raleigh, ,"On May 21, 2019, an employee was killed at a distribution center.",struck by,,
CLOSED,1402158.015,0636900,05/14/2019,"Walmart Supercenter #286
			   700 E. Ennis Ave.Ennis, TX 75119","700 E. Ennis Ave., Ennis, TX 75119",NonUnion,,453998/All Other Miscellaneous Store Retailers (except Tobacco Stores),Referral,Partial,N,Private,Safety,05/14/2019,,09/20/2019,1402158.015,116409.015,05/01/2019,Employee Sustains Head Injury After Boxes Falling,Fort Worth, ,"At approximately 3:30 p.m. on May 1, 2019, an employee was unloading a truck ful l of boxes of dog products.  These boxes fell on the employee and the employee s ustains a head injury.  The employee is hospitalized for these injuries.","head, struck by, trailer truck",,
CLOSED,1398297.015,0950624,05/02/2019,"Walmart Neighborhood Market
			   1189 E March LaneStockton, CA 95210","1189 E March Lane, Stockton, CA 95210",NonUnion,,452112/Discount Department Stores,Complaint,Partial,N,Private,Safety,05/22/2019,,07/08/2019,1398297.015,,,,,,,,,
CLOSED,1398365.015,0950633,04/30/2019,"Walmart Inc.
			   12721 Moreno Beach Blvd.Moreno Valley, CA 92555","12721 Moreno Beach Blvd., Moreno Valley, CA 92555",NonUnion,,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,09/30/2019,,09/27/2021,1398365.015,,,,,,,,,
CLOSED,1391189.015,0524200,04/05/2019,"Walmart Inc.
			   475 E. Route 173Antioch, IL 60002","702 Sw 8th Street Ms#0505, Bentonville, AR 72716",NonUnion,,452112/Discount Department Stores,Fat/Cat,Partial,N,Private,Safety,06/03/2019,L,11/29/2022,1391189.015,115124.015,04/04/2019,Employee Trips And Falls Over Sign And Later Dies From Body,Chicago North, ,"At 3:45 p.m. on April 4, 2019, an employee was returning from his break when he tripped and fell over the corner of a freestanding cardboard advertisement sign. The employee sustained body trauma and was brought to a hospital, where he lat er died.","fall, tripped",,
CLOSED,1386756.015,0653510,03/15/2019,"Walmart #4601
			   3331 Rinconada BlvdLas Cruces, NM 88011","3331 Rinconada Blvd, Las Cruces, NM 88011",NonUnion,,452111/Department Stores (except Discount Department Stores),Referral,Partial,N,Private,Safety,03/15/2019,,06/05/2019,1386756.015,,,,,,,,,
CLOSED,1381487.015,0950623,02/27/2019,"Walmart, Inc.
			   5000 Rhonda RoadAnderson, CA 96007","5000 Rhonda Road, Anderson, CA 96007",NonUnion,,452910/Warehouse Clubs and Supercenters,Complaint,Partial,N,Private,Health,03/12/2019,,04/09/2019,1381487.015,,,,,,,,,
OPEN,1376629.015,0950621,02/08/2019,"Walmart Inc.
			   1018 Riley StreetFolsom, CA 95630","1018 Riley Street, Folsom, CA 95630",NonUnion,,452112/Discount Department Stores,FollowUp,Partial,N,Private,Health,02/19/2019,,,1376629.015,,,,,,,,,
CLOSED,1374860.015,0418400,01/29/2019,"Walmart Inc.
			   1401 West Baker HighwayDouglas, GA 31533","1401 West Baker Highway, Douglas, GA 31533",NonUnion,,493110/General Warehousing and Storage,Referral,Partial,N,Private,Safety,01/29/2019,,01/18/2022,1374860.015,113114.015,01/15/2019,Employee Partially Amputates One Finger And Fractures Second,Savannah, ,"At 6:00 p.m. on January 15, 2019, an employee was on a catwalk that was statione d between conveyor belts #10 and #11 while clearing a product box jam on Conveyo r Belt #9.  The employee fell across Conveyor Belt #10 when he bent over to reac h across the belt and caught his right hand at a transition point.  The employee partially amputated his pinky from his right hand and fractured his left hand's pinky.  The employee was hospitalized.","amputated, amputation, caught by, conveyor belt, finger, hand, jammed, partial amputation",,
CLOSED,1372809.015,0111100,01/22/2019,"Walmart Store 1919
			   250 W BroadwayLincoln, ME 04457","250 W Broadway, Lincoln, ME 04457",NonUnion,,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,01/22/2019,L,07/12/2019,1372809.015,,,,,,,,,
CLOSED,1372121.015,0552652,01/17/2019,"Walmart Stores Inc #1752
			   3921 Wilder RdBay City, MI 48706","3921 Wilder Rd, Bay City, MI 48706",NonUnion,,452112/Discount Department Stores,Planned,Complete,N,Private,Safety,01/17/2019,P,05/08/2019,1372121.015,,,,,,,,,
CLOSED,1372348.015,0418300,01/17/2019,"Walmart Inc.
			   1007 Red Farmer DriveHueytown, AL 35023","1007 Red Farmer Drive, Hueytown, AL 35023",NonUnion,,452111/Department Stores (except Discount Department Stores),Complaint,Partial,N,Private,Safety,01/17/2019,,04/08/2019,1372348.015,,,,,,,,,
CLOSED,1372611.015,1055320,01/16/2019,"Wa317952690 - Walmart Inc
			   1900 S 314th StFederal Way, WA 98003","702 Southwest 8th St Ms 3570, Bentonville, AR 72712",NonUnion,,452990/All Other General Merchandise Stores,Referral,Partial,N,Private,Safety,01/16/2019,,03/04/2019,1372611.015,,,,,,,,,
CLOSED,1369334.015,1055330,01/03/2019,"Wa317952521 - Walmart Inc
			   1965 S Union AveTacoma, WA 98405","702 Southwest 8th St Ms 3570, Bentonville, AR 72712",NonUnion,,452910/Warehouse Clubs and Supercenters,Referral,Partial,N,Private,Safety,01/03/2019,,03/21/2019,1369334.015,,,,,,,,,
CLOSED,1359409.015,0625700,11/05/2018,"Walmart Stores Inc #911
			   1201 Parkview Dr.New Iberia, LA 70563","1201 Parkview Dr., New Iberia, LA 70563",NonUnion,,452112/Discount Department Stores,Referral,Partial,N,Private,Safety,11/05/2018,,01/25/2019,1359409.015,110866.015,11/03/2018,Employee Fractures Ankle In Fall When Stepping On Pallet,Baton Rouge, ,"At 8:40 a.m. on November 3, 2018, Employee #1 stepped on a pallet. The employee lost her footing, and fell over, fracturing her ankle. She was hospitalized for treatment.","ankle, fall, fracture, lost balance, pallet",,
CLOSED,1353446.015,0552652,10/16/2018,"Walmart Stores Inc  #2619
			   910 Joe Mann Blvd.Midland, MI 48642","910 Joe Mann Blvd, Midland, MI 48642",NonUnion,,452112/Discount Department Stores,Planned,Complete,N,Private,Safety,10/16/2018,P,10/31/2019,1353446.015,,,,,,,,,
CLOSED,1352658.015,0257210,10/11/2018,"Walmart Of Puerto Rico  Inc.
			   Carr #2 Km 84.7 Bo CarrizalezHatillo, PR 00659","Po Box 4960, Caguas, PR 00726",NonUnion,,452111/Department Stores (except Discount Department Stores),Referral,Partial,N,Private,Safety,10/30/2018,,03/08/2019,1352658.015,,,,,,,,,
CLOSED,1351346.015,0552652,10/05/2018,"Walmart Stores Inc #2354
			   2500 S Adams RdRochester Hills, MI 48309","2500 S Adams Rd, Rochester Hills, MI 48309",NonUnion,,452112/Discount Department Stores,Planned,Complete,N,Private,Safety,10/05/2018,P,04/15/2019,1351346.015,,,,,,,,,
CLOSED,1343952.015,0751910,09/04/2018,"Walmart Distribution Center
			   1501 East Maple Leaf DriveMount Pleasant, IA 52641","1501 East Maple Leaf Drive, Mount Pleasant, IA 52641",NonUnion,,493110/General Warehousing and Storage,Referral,Partial,N,Private,Safety,09/04/2018,,09/18/2020,1343952.015,108851.015,07/23/2018,Employee Sustains Compound Leg Fractures In Crash,Iowa, ,"At 2:30 p.m. on July 23, 2018, Employee #1 was operating a Crown RC 5500 Series Clamp truck, Serial number 1A370764, and encountered a wet floor from a floor sc rubber that had just passed by.  The employee attempted to turn, lost steering, and began to slide towards a steel support pole.  Just before impacting the pole , the employee stuck his leg out in the direction of the pole. Employee #1's leg was crushed and pinned between the pole and clamp truck. He was hospitalized wi th compound fractures to his lower leg.","crushed, fracture, leg, lost control, pinned, powered industrial vehicle, steel",,
CLOSED,1343963.015,0950633,09/04/2018,"Walmart Inc.
			   21101 Johnson Ave.Apple Valley, CA 92307","21101 Johnson Ave., Apple Valley, CA 92307",NonUnion,,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,02/11/2019,,05/09/2019,1343963.015,,,,,,,,,
CLOSED,1342236.015,0419400,08/28/2018,"Walmart #5419
			   2600 McingvaleHernando, MS 38632","508 Sw 8th St. Mailbox 0505, Bentonville, AR 72712",NonUnion,,453998/All Other Miscellaneous Store Retailers (except Tobacco Stores),Referral,Records,N,Private,Health,08/28/2018,,09/27/2018,1342236.015,108658.015,08/20/2018,Employee Falls While Pushing Cart And Fractures Hip,Jackson, ,"At 6:45 a.m. on August 20, 2018, an employee was pushing a cart when she fell an d fractured her hip.  The employee was hospitalized.","fall, fracture, hip",,
CLOSED,1341764.015,0454715,08/24/2018,"Walmart Inc.
			   1210 Mineral Wells Ave.Paris, TN 38242","1210 Mineral Wells Ave., Paris, TN 38242",NonUnion,,452910/Warehouse Clubs and Supercenters,Complaint,Partial,N,Private,Safety,08/24/2018,,03/09/2020,1341764.015,,,,,,,,,
CLOSED,1339904.015,0418600,08/13/2018,"Walmart Inc.
			   2701 Andrews RoadOpelika, AL 36801",2701 Andrews Road Attn,NonUnion,,493120/Refrigerated Warehousing and Storage,Complaint,Partial,N,Private,Safety,08/14/2018,L,08/06/2020,1339904.015,,,,,,,,,
CLOSED,1336638.015,0418300,08/07/2018,"Walmart Supercenter #0766
			   3100 Hough RoadFlorence, AL 35630","3100 Hough Road, Florence, AL 35630",NonUnion,,452111/Department Stores (except Discount Department Stores),Unprog Rel,Records,N,Private,Safety,08/07/2018,,09/25/2018,1336638.015,,,,,,,,,
OPEN,1333504.015,0950621,07/25/2018,"Walmart Inc.
			   1018 Riley StreetFolsom, CA 95630","1018 Riley Street, Folsom, CA 95630",NonUnion,,452112/Discount Department Stores,Fat/Cat,Partial,N,Private,Health,11/08/2018,,,1333504.015,107731.015,07/24/2018,Employee Suffers Heart Attack At Work And Dies,Ca Sacramento, ,"At 7:30 a.m. on July 24, 2018, an employee was walking, suffered chest pain and died.",heart attack,"The following inspection has not been indicated as closed. Please be aware that the information shown may change, e.g. violations may be added or deleted.  For open cases, in which a citation has been issued, the citation information may not be available for 5 days following receipt by the employer for Federal inspections or for 30 days following receipt by the employer for State inspections.",
CLOSED,1334475.015,0950647,07/25/2018,"Walmart
			   201 E. Bowman RdRidgecrest, CA 93555","702 Sw 8th Street, Bentonville, AR 72716",NonUnion,,445110/Supermarkets and Other Grocery (except Convenience) Stores,Complaint,Partial,N,Private,Safety,01/16/2019,,11/16/2021,1334475.015,,,,,,,,,
CLOSED,1330789.015,0355111,07/18/2018,"Walmart Distribution Center
			   21500 Cox RoadSutherland, VA 23885","21500 Cox Road, Sutherland, VA 23885",NonUnion,,493110/General Warehousing and Storage,Referral,Partial,N,Private,Safety,09/27/2018,S,11/05/2018,1330789.015,109521.015,07/17/2018,Employee Collapses And Is Found Unconscious By Pallet,Virginia Safety 1, ,"At 1:30 a.m. on July 17, 2017, an employee was applying shrink wrap to a pallet and was found collapsed nearby.  The employee was hospitalized.","fainted, unconsciousness",,
CLOSED,1329820.015,0355116,07/12/2018,"Walmart, Inc.
			   2160 John Wayland HwyHarrisonburg, VA 22801","2160 John Wayland Hwy, Harrisonburg, VA 22801",NonUnion,,452910/Warehouse Clubs and Supercenters,Complaint,Partial,N,Private,Safety,07/12/2018,,11/20/2018,1329820.015,,,,,,,,,
CLOSED,1328370.015,0552652,07/09/2018,"Walmart Stores Inc #2079
			   3225 Us Highway 41 WMarquette, MI 49855","3225 Us Highway 41 W, Marquette, MI 49855",NonUnion,,452112/Discount Department Stores,Planned,Complete,N,Private,Safety,07/10/2018,P,11/26/2018,1328370.015,,,,,,,,,
CLOSED,1323026.015,0626700,06/14/2018,"Walmart #546
			   5330 Fm 1640Richmond, TX 77469","5330 Fm 1640, Richmond, TX 77469",NonUnion,,452111/Department Stores (except Discount Department Stores),Referral,Partial,N,Private,Safety,06/14/2018,,09/02/2020,1323026.015,106546.015,06/05/2018,"Employee Trips Over Mat, Falls, And Fractures Femur",Houston South, ,"At 9:00 p.m. on June 5, 2018, Employee #1 had just finished consulting. The empl oyee tripped over the mat, fell to the floor, and fractured her right femur. She was hospitalized for her injury.","fall, fracture, leg, tripped",,
CLOSED,1323056.015,0521700,06/14/2018,"Walmart, Inc.
			   9450 West Joliet RoadHodgkins, IL 60525","9450 West Joliet Road, La Grange, IL 60525",NonUnion,,452910/Warehouse Clubs and Supercenters,Referral,Partial,N,Private,Safety,06/14/2018,N,01/23/2019,1323056.015,106528.015,06/10/2018,Employee Strikes Hand Against Meat Bandsaw Blade And Amputat,Calumet City, ,"At 1:15 p.m. on June 10, 2018, an employee was cutting meat on a Hobart Vertical Band and struck his hand against the blade, amputating two fingers.  The employ ee was hospitalized.","amputated, amputation, bandsaw, blade, finger, struck against",,
CLOSED,1322541.015,0418300,06/13/2018,"Walmart Inc.
			   1011 Us Highway 72 EastAthens, AL 35611","1011 Us Highway 72 East, Athens, AL 35611",NonUnion,,452910/Warehouse Clubs and Supercenters,Complaint,Partial,N,Private,Safety,06/13/2018,,08/01/2018,1322541.015,,,,,,,,,
CLOSED,1316445.015,0552652,05/24/2018,"Walmart Distribution Center Dc 6043
			   500 Jonesville RdColdwater, MI 49036","500 Jonesville Rd, Coldwater, MI 49036",NonUnion,,493110/General Warehousing and Storage,Complaint,Partial,N,Private,Safety,07/24/2018,,10/02/2018,1316445.015,,,,,,,,,
CLOSED,1317663.015,0521400,05/22/2018,"Walmart Inc.
			   801 North Randall RoadBatavia, IL 60510","801 North Randall Road, Batavia, IL 60510",NonUnion,,452111/Department Stores (except Discount Department Stores),Referral,Partial,N,Private,Safety,05/22/2018,,09/23/2019,1317663.015,109363.015,05/19/2018,Employee Gets Pinned By A Vehicle,Naperville, ,"At 12:47 p.m. on May 19, 2018, an employee was acting as a spotter to align the tires of a vehicle onto a runway type four post surface mounted car lift prior t o service. The employee stood behind the lift as the vehicle, operated by a cowo rker, was driven onto the lift. The vehicle did not stop when reached the end of the lift, pinning the standing employee between the vehicle and a pile of tires . The employee experienced some bruising and swelling of his legs. The employee was not hospitalized.","caught between, contusion, leg, mechanic, struck by",,
CLOSED,1315930.015,0950621,05/15/2018,"Walmart, Inc.
			   1400 Lead Hill Blvd.Roseville, CA 95661","1400 Lead Hill Blvd., Roseville, CA 95661",NonUnion,,452111/Department Stores (except Discount Department Stores),Accident,Partial,N,Private,Safety,08/23/2018,,02/24/2021,1315930.015,105559.015,05/09/2018,Employee Slips And Falls From Ladder And Fractures Hip And S,Ca Sacramento, ,"At 12:30 p.m. on May 9, 2018, an employee was climbing down a 4 foot A Frame lad der and was carrying a 14 lb box of cookies from the top shelf.  The employee mi ssed the last step and slipped on a patch of ice on the freezer floor.  The empl oyee fractured his shoulder and hip when he fell.  The employee was hospitalized .","fall, fracture, high pressure, ladder, shoulder, slippery surface",,
CLOSED,1313974.015,0950643,05/04/2018,"Walmart 2297
			   25450 The Old Rd.,Stevenson Ranch, CA 91381","25450 The Old Rd.,, Stevenson Ranch, CA 91381",NonUnion,,452111/Department Stores (except Discount Department Stores),Accident,Partial,N,Private,Safety,09/10/2018,,10/04/2019,1313974.015,107794.015,04/13/2018,Employee Slips And Falls While Waxing And Injures Head,Ca Van Nuys, ,"At 1:15 a.m. on April 13, 2018, an employee was laying wax stripper on the floor . He turned to go to the next aisle when he slipped and fell, striking his head on the floor. The employee was hospitalized for treatment of a brain injury.","fall, head, slip, slippery surface",,
CLOSED,1310947.015,0454723,04/24/2018,"Walmart Inc.
			   6101 Lee HighwayChattanooga, TN 37421","6101 Lee Highway, Chattanooga, TN 37421",NonUnion,,452910/Warehouse Clubs and Supercenters,Complaint,Partial,N,Private,Health,04/24/2018,,08/28/2018,1310947.015,,,,,,,,,
CLOSED,1308146.015,0419400,04/04/2018,"Walmart
			   1831 Hwy 1 SouthGreenville, MS 38703","1831 Hwy 1 South, Greenville, MS 38703",NonUnion,,452112/Discount Department Stores,Complaint,Partial,N,Private,Safety,04/04/2018,,09/19/2018,1308146.015,,,,,,,,,
CLOSED,1300956.015,0521100,03/12/2018,"Walmart Supercenter #1643
			   377 Rolling Meadows DriveFond Du Lac, WI 54937","377 Rolling Meadows Drive, Fond Du Lac, WI 54937",NonUnion,,452112/Discount Department Stores,Complaint,Partial,N,Private,Safety,03/23/2018,,08/14/2018,1300956.015,,,,,,,,,
CLOSED,1292351.015,1055330,01/29/2018,"Wa317947752 - Walmart Inc
			   16502 Meridan Ave EastPuyallup, WA 98375","702 Southwest 8th St Ms 3570, Bentonville, AR 72712",NonUnion,,452111/Department Stores (except Discount Department Stores),Referral,Partial,N,Private,Safety,02/23/2018,,06/13/2018,1292351.015,,,,,,,,,
CLOSED,1283778.015,0552652,12/18/2017,"Walmart Inc #1592
			   901 N Van DykeBad Axe, MI 48413","901 N Van Dyke, Bad Axe, MI 48413",NonUnion,,452112/Discount Department Stores,Planned,Complete,N,Private,Safety,12/19/2017,P,01/22/2019,1283778.015,,,,,,,,,
CLOSED,1283589.015,0213100,12/15/2017,"Walmart Distribution Center #6041
			   100 High StSharon Springs, NY 13459","100 High St, Sharon Springs, NY 13459",NonUnion,,493110/General Warehousing and Storage,Planned,Complete,N,Private,Safety,12/15/2017,P,10/18/2018,1283589.015,,,,,,,,,
